Метка,Значение,Имя,Корпус,Положил
C1-C2,1 uF,GRM21BC72A105KE01L,CAP_0805,1
C4,220 nF,CAP_0603,CAP_0603,1
"C5,C7",100 nF,CAP_0603,CAP_0603,1
C6,,EEE-FK1H101P,CAPAE830X1050L340X90N_AD4,1
C8,10 nF,CAP_0603,CAP_0603,1
C9,10 nF,CAP_0805,CAP_0805,1
"D1, D3",,1N4148W,SOD-123,1
D2,,BAV99LT1,SOT23,1
D4-D9,,M2,SMADIODE,1
J1,,HDR-1x15,HDR-1x15,1
L1-L2,,IND_0603,IND_0603,1
R1,0 Om,RES_0603,RES_0603,1
"R2,R6",100 mOm,RES_2512,RES_2512,1
R4,2 MOm,RES_0603,RES_0603,1
R10,825 Om,RES_0603,RES_0603,1
R11,10 kOm,RES_0603,RES_0603,1
U1,,BTS4141N,SOT223-4,1
U2,,L6234,SOIC21P127_1590X1420X360L95X46TM_AT2,1
U5,,INA138,SOT23-5,1
X1,,DS1069-3,DS1069-3,1
